species,genus,species,full_name,
AHPA,Ahtiana,pallidula,Ahtiana pallidula,
AHSP,Ahtiana,sphaerosporella,Ahtiana sphaerosporella,
ALLA,Alectoria,lata,Alectoria lata,
BRXX,Bryoria sp.,,Bryoria sp.,
EVPR,Evernia,prunastri,Evernia prunastri,
HYEN,Hypogymnia,enteromorpha,Hypogymnia enteromorpha,
HYIM,Hypogymnia,imshaugii,Hypogymnia imshaugii,
HYIN,Hypogymnia,inactiva,Hypogymnia inactiva,
HYPH,Hypogymnia,physodes,Hypogymnia physodes,
KAME,Kaernefeltia,merrillii,Kaernefeltia merrillii,
LECO,Letharia,columbiana,Letharia columbiana,
LESA,Leptogium,saturninum,Leptogium saturninum,
LEVU,Letharia,vulpina,Letharia vulpina,
LOANO,Lobaria,anomala,Lobaria anomala,
LOANT,Lobaria,anthraspis,Lobaria anthraspis,
LOPU,Lobaria,pulmonaria,Lobaria pulmonaria,
MECA,Melanelixia,californica,Melanelixia californica,"ACTUALLY MELANELIXIA, MULTISPORA OR SUBOLIVACEA, CHECK ASCI"
NEHE,Nephroma,helvetica,Nephroma helvetica,"medulla white, marginal lobules, no white papillae below"
NERE,Nephroma,resupinatum,Nephroma resupinatum,
NOPU,Normandina,pulchella,Normandina pulchella,
PAHY,Parmelia,hygrophila,Parmelia hygrophila,HAS ISIDIA_RHIZINES APICALLY DICHOTOMOUS
PAQU,Parmelina,quercina,Parmelina quercina,
PASU,Parmelia,sulcata,Parmelia sulcata,
PECO,Peltigera,collina,Peltigera collina,
PLGL,Platismatia,glauca,Platismatia glauca,
PLHE,Platismatia,herrei,Platismatia herrei,
PLST,Platismatia,stenophylla,Platismatia stenophylla,
TUCH,Tuckermanopsis,chlorophylla,Tuckermanopsis chlorophylla,
TUOR,Tuckermanopsis,orbata,Tuckermanopsis orbata,
TUPL,Tuckermanopsis,platyphylla,Tuckermanopsis platyphylla,
USPE,Usnea,pendulous,Usnea pendulous,U. filipendula?
USTU,Usnea,tufted,Usnea tufted,U. subfloridana?
VUCA,Vulpicida,canadensis,Vulpicida canadensis,
USXX,Usnea,,Usnea sp.,
POXX,Polycauliona,,Polycauliona sp.,actually XAHA?
FUME,Fuscopannaria,mediterranea,Fuscopannaria mediterranea,
LEPS,Leptogium,pseudofurfuraceum,Leptogium pseudofurfuraceum,COULD USE SECOND OPINION_SEE SPECIMEN FROM 57
CONI,Collema,nigriscens,Collema nigriscens,
PHPE,Physconia,perisidiosa,Physconia perisidiosa,
PHCA,Physconia,californica,Physconia californica,
ALSA,Alectoria,sarmentosa,Alectoria sarmentosa,
HYOC,Hypogymnia,occidentalis,Hypogymnia occidentalis,holes in tips_lobe interior dark
HYME,Hypogymnia,metaphysodes,Hypogymnia metaphysodes,ceiling white_floor dark_no holes_no side lobes_looks neater
HYAP,Hypogymnia,apinnata,Hypogymnia apinnata,medulla P+R_cortex P-_lobes forming arcs with occ lobe tip perforations
FUPU,Fuscopannaria,pulveracea,Fuscopannaria pulveracea,marginal soredia_blue gray color_no apos_K+Y
PHAI,Physcia,aipolia,Physcia aipolia,med and cort K+Y
FUXX,Fuscopannaria,sp,Fuscopannaria sp.,green esorediate_black apos
XAHA,Xanthomendoza,hasseana,Xanthomendoza hasseana,all POXX are this probably?
RADI,Ramalina,dilacerata,Ramalina dilacerata,in 58
USCA,Usnea,cavernosa,Usnea cavernosa,"FEW APOS_LONGITUDINAL RIDGES AND PITS_FEW FIBRILS_NO PAPILLAE, in 30"
PHBI,Physcia,biziana,Physcia biziana,
ALIM,Alectoria,imshaugii,Alectoria imshaugii,in 20
USSC,Usnea,scabrata,Usnea scabrata,"pendulous, with ridges in 37"
DUMB,Dummy,,,
PHYSCONIA,Physconia,,Physconia sp.,
PHYS,Physconia,,,
PHXX,Physconia,,Physconia sp.,
ESID,Esslingeriana,idahoense,Esslingeriana idahoense,
HYXX,Hypogymnia,sp,,
PHAL,Physcia,alnophylla,Physcia alnophyllla,
ALXX,Alectoria,,,
MEXX,Melanelixia,,,
COXX,Collema,,,
LEXX,Leptogium,,,
PAXX,Parmelia,,,
RAXX,Ramalina,,,
RAFA,Ramalina,farinacea,Ramalina farinacea,
PHST,Physcia,stellaris,Physcia stellaris,
PHEN,Physconia,enteromorpha,Physconia enteromorpha,
WACA,Waynea,californica,Waynea californica,
CAPA,Candelaria,pacifica,Candelaria pacifica,
